Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos
ALB,76.642,74.536,75.717,88.34486026426316,74.851,18.0
ALO,75.863,75.76,77.543,91.0715,75.196,19.0
ANT,73.402,73.033,74.38,88.209083333,72.646,2.0
BEA,77.77,75.197,76.21,89.245076923,74.416,16.0
BOR,76.214,74.627,75.98,89.142545454,74.071,13.0
BOT,77.868,76.866,77.212,88.958,76.272,22.0
GAS,76.809,76.642,76.15,87.290666666,74.187,14.0
HAD,76.253,73.605,74.941,88.088857142,72.935,7.0
HAM,74.176,73.326,74.695,85.331388888,72.868,5.0
HUL,75.698,74.595,76.297,86.996181818,73.886,11.0
LAW,77.431,74.536,76.257,88.34486026426316,73.897,12.0
LEC,74.355,73.41,74.741,88.173125,72.976,8.0
LIN,75.452,73.737,75.653,88.946625,73.28,9.0
NOR,74.799,73.28,74.596,89.301583333,72.729,3.0
OCO,76.497,74.928,76.849,88.805428571,74.845,17.0
PER,77.926,76.002,76.641,84.744,75.429,20.0
PIA,74.963,73.299,74.793,91.068583333,72.781,4.0
RUS,73.544,72.965,74.702,87.752375,72.578,1.0
SAI,76.66,74.536,75.943,87.875157894,74.273,15.0
STR,76.978,76.354,77.12,91.682,76.195,21.0
VER,74.366,73.504,74.974,85.870166666,72.907,6.0
