Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,17.0,0.3333333333333333,1.6666666666666667,76.642,,75.717,,,,,74.851,18.0,21.0,0.0,2.0
ALO,Aston Martin,17.666666666666668,0.0,0.0,75.863,75.76,77.543,27.015428571,27.536666666,36.476,91.0715,75.196,19.0,20.0,0.0,0.0
ANT,Mercedes,1.0,25.0,33.0,73.402,73.033,74.38,24.462866666,27.0069375,36.096461538,88.209083333,72.646,2.0,1.0,25.0,25.0
BEA,Haas F1 Team,14.333333333333334,0.3333333333333333,0.6666666666666666,77.77,75.197,76.21,26.36075,26.780058823,35.207714285,89.245076923,74.416,16.0,10.0,1.0,1.0
BOR,Audi,12.666666666666666,0.0,0.0,76.214,74.627,75.98,27.324714285,28.032857142,35.38590909,89.142545454,74.071,13.0,13.0,0.0,0.0
BOT,Cadillac,17.666666666666668,0.0,0.0,77.868,76.866,77.212,26.833125,27.3505,34.621166666,88.958,76.272,22.0,16.0,0.0,0.0
COL,Alpine,9.666666666666666,4.666666666666667,8.0,,74.702,75.478,25.824533333,27.165266666,34.371384615,86.76075,73.697,10.0,6.0,8.0,12.0
GAS,Alpine,12.0,3.3333333333333335,8.0,76.809,76.642,76.15,26.236,26.903428571,34.6035,87.290666666,74.187,14.0,8.0,4.0,12.0
HAD,Red Bull Racing,13.0,3.3333333333333335,13.0,76.253,73.605,74.941,26.351125,27.5359375,35.148071428,88.088857142,72.935,7.0,5.0,10.0,25.0
HAM,Ferrari,4.666666666666667,11.333333333333334,21.666666666666668,74.176,73.326,74.695,24.798428571,27.069590909,33.615578947,85.331388888,72.868,5.0,2.0,18.0,30.0
HUL,Audi,14.0,0.0,0.0,75.698,74.595,76.297,26.8505,27.492285714,34.247272727,86.996181818,73.886,11.0,12.0,0.0,0.0
LAW,Racing Bulls,12.0,2.6666666666666665,2.6666666666666665,77.431,,76.257,,,,,73.897,12.0,7.0,6.0,6.0
LEC,Ferrari,5.0,10.333333333333334,21.666666666666668,74.355,73.41,74.741,25.318526315,27.003,35.88025,88.173125,72.976,8.0,4.0,12.0,30.0
LIN,Racing Bulls,16.666666666666668,0.0,2.6666666666666665,75.452,73.737,75.653,25.524526315,27.817444444,35.68225,88.946625,73.28,9.0,22.0,0.0,6.0
NOR,McLaren,8.333333333333334,9.333333333333334,20.333333333333332,74.799,73.28,74.596,25.347,26.387266666,37.436916666,89.301583333,72.729,3.0,18.0,0.0,0.0
OCO,Haas F1 Team,12.333333333333334,0.3333333333333333,0.6666666666666666,76.497,74.928,76.849,26.09717647,26.8515,35.798571428,88.805428571,74.845,17.0,14.0,0.0,1.0
PER,Cadillac,16.666666666666668,0.0,0.0,77.926,76.002,76.641,25.216125,27.253857142,33.536833333,84.744,75.429,20.0,17.0,0.0,0.0
PIA,McLaren,5.333333333333333,11.0,20.333333333333332,74.963,73.299,74.793,27.7886,27.393933333,37.005166666,91.068583333,72.781,4.0,11.0,0.0,0.0
RUS,Mercedes,9.0,8.0,33.0,73.544,72.965,74.702,24.087888888,26.450421052,36.526352941,87.752375,72.578,1.0,19.0,0.0,25.0
SAI,Williams,11.0,1.3333333333333333,1.6666666666666667,76.66,74.536,75.943,26.809,27.738625,34.57685,87.875157894,74.273,15.0,9.0,2.0,2.0
STR,Aston Martin,17.666666666666668,0.0,0.0,76.978,76.354,77.12,26.713857142,27.1525,36.901428571,91.682,76.195,21.0,15.0,0.0,0.0
VER,Red Bull Racing,5.333333333333333,9.666666666666666,13.0,74.366,73.504,74.974,25.239285714,26.9225,34.624666666,85.870166666,72.907,6.0,3.0,15.0,25.0
