Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,6.0,,0.0,95.48,95.305,98.158,27.3006,31.527666666,49.645,108.9622,94.772,18.0,22.0,0.0,0.0
ALO,Aston Martin,9.0,,0.0,95.856,95.581,98.487,28.49,31.7466,48.075,107.56425,95.203,19.0,17.0,0.0,0.0
ANT,Mercedes,10.0,,43.0,92.861,91.809,94.76,28.1164,32.86376923,47.599230769,107.6587,92.064,1.0,1.0,18.0,43.0
BEA,Haas F1 Team,6.5,,6.0,94.426,93.409,97.374,29.538153846,31.8940625,48.543625,110.244461538,93.292,10.0,5.0,6.0,6.0
BOR,Audi,5.5,,2.0,94.828,93.774,97.8,28.943,32.736714285,48.478214285,110.35925,93.965,16.0,21.0,2.0,2.0
BOT,Cadillac,9.5,,0.0,96.057,97.378,99.262,28.484571428,33.10725,48.4285,109.943714285,95.436,20.0,13.0,0.0,0.0
COL,Alpine,7.0,,1.0,94.947,94.327,97.278,30.2916,33.194916666,47.793,111.528,93.357,12.0,10.0,0.0,1.0
GAS,Alpine,5.5,,1.0,94.676,92.888,98.349,29.145416666,32.768933333,49.672133333,112.2755,92.873,7.0,6.0,1.0,1.0
HAD,Red Bull Racing,10.0,,8.0,94.856,93.62,96.912,30.018583333,31.808333333,47.518714285,107.512636363,93.121,9.0,8.0,0.0,8.0
HAM,Ferrari,8.0,,27.0,94.129,92.161,94.926,28.891416666,33.737,49.1446,111.76725,92.415,3.0,3.0,12.0,27.0
HUL,Audi,11.0,,2.0,94.639,93.635,98.027,28.202083333,33.229071428,46.597,107.721083333,93.354,11.0,11.0,0.0,2.0
LAW,Racing Bulls,6.5,,4.0,94.773,93.714,97.882,27.259545454,32.162615384,48.857076923,108.13,93.765,14.0,7.0,0.0,4.0
LEC,Ferrari,9.0,,27.0,93.599,92.528,94.753,28.035833333,31.963625,49.60225,108.046916666,92.428,4.0,4.0,15.0,27.0
LIN,Racing Bulls,6.0,,4.0,97.896,94.048,98.475,27.856363636,31.910153846,48.277076923,108.096090909,93.784,15.0,12.0,4.0,4.0
NOR,McLaren,7.5,,10.0,93.296,92.141,95.708,27.6935,31.314461538,49.21776923,108.8871,92.608,6.0,20.0,10.0,10.0
OCO,Haas F1 Team,5.5,,6.0,94.877,93.639,97.363,27.888,32.825307692,49.63476923,110.530090909,93.538,13.0,14.0,0.0,6.0
PER,Cadillac,8.0,,0.0,99.2,,98.862,,,,,96.906,22.0,15.0,0.0,0.0
PIA,McLaren,10.5,,10.0,93.472,92.224,95.635,28.3731,32.22676923,48.985538461,110.3587,92.55,5.0,19.0,0.0,10.0
RUS,Mercedes,13.0,,43.0,92.741,91.52,95.101,27.9787,32.98776923,49.256538461,109.65,92.286,2.0,2.0,25.0,43.0
SAI,Williams,7.5,,0.0,95.679,94.761,97.913,29.112,32.322,48.965,110.9942,94.317,17.0,9.0,0.0,0.0
STR,Aston Martin,8.5,,0.0,97.224,96.151,98.532,29.756166666,33.753428571,49.822142857,113.3595,95.995,21.0,18.0,0.0,0.0
VER,Red Bull Racing,7.0,,8.0,94.541,93.254,95.774,29.153714285,32.952235294,47.594058823,109.1845,93.002,8.0,16.0,8.0,8.0
